primary_key,symbol,date,sentiment_score,stock_rec,total_rec
Apple_2023-09-05,AAPL,2023-09-05,positive,Sell,Hold
Apple_2023-09-06,AAPL,2023-09-06,neutral,Sell,Sell
Apple_2023-09-08,AAPL,2023-09-08,neutral,Sell,Sell
Apple_2023-09-11,AAPL,2023-09-11,positive,Sell,Hold
Apple_2023-09-13,AAPL,2023-09-13,positive,Sell,Hold
Apple_2023-09-14,AAPL,2023-09-14,positive,Sell,Hold
Apple_2023-09-18,AAPL,2023-09-18,positive,Sell,Hold
Apple_2023-09-19,AAPL,2023-09-19,positive,Buy,Strong Buy
Apple_2023-09-20,AAPL,2023-09-20,positive,Sell,Hold
Apple_2023-09-22,AAPL,2023-09-22,positive,Sell,Hold
Apple_2023-09-25,AAPL,2023-09-25,positive,Buy,Strong Buy
Apple_2023-09-26,AAPL,2023-09-26,positive,Sell,Hold
Apple_2023-09-27,AAPL,2023-09-27,positive,Buy,Strong Buy
Apple_2023-09-28,AAPL,2023-09-28,neutral,Sell,Sell
Apple_2023-09-29,AAPL,2023-09-29,positive,Sell,Hold
Amgen_2023-09-01,AMGN,2023-09-01,positive,Sell,Hold
Amgen_2023-09-05,AMGN,2023-09-05,positive,Buy,Strong Buy
Amgen_2023-09-06,AMGN,2023-09-06,positive,Buy,Strong Buy
Amgen_2023-09-07,AMGN,2023-09-07,positive,Sell,Hold
Amgen_2023-09-08,AMGN,2023-09-08,neutral,Buy,Buy
Amgen_2023-09-11,AMGN,2023-09-11,positive,Sell,Hold
Amgen_2023-09-12,AMGN,2023-09-12,positive,Sell,Hold
Amgen_2023-09-13,AMGN,2023-09-13,neutral,Sell,Sell
Amgen_2023-09-14,AMGN,2023-09-14,positive,Sell,Hold
Amgen_2023-09-15,AMGN,2023-09-15,positive,Sell,Hold
Amgen_2023-09-18,AMGN,2023-09-18,neutral,Buy,Buy
Amgen_2023-09-19,AMGN,2023-09-19,positive,Sell,Hold
Amgen_2023-09-20,AMGN,2023-09-20,neutral,Buy,Buy
Amgen_2023-09-21,AMGN,2023-09-21,neutral,Sell,Sell
Amgen_2023-09-22,AMGN,2023-09-22,positive,Sell,Hold
Amgen_2023-09-25,AMGN,2023-09-25,positive,Buy,Strong Buy
Amgen_2023-09-26,AMGN,2023-09-26,neutral,Sell,Sell
Amgen_2023-09-27,AMGN,2023-09-27,neutral,Buy,Buy
Amgen_2023-09-28,AMGN,2023-09-28,positive,Sell,Hold
Amgen_2023-09-29,AMGN,2023-09-29,positive,Sell,Hold
Boeing_2023-09-01,BA,2023-09-01,neutral,Sell,Sell
Boeing_2023-09-05,BA,2023-09-05,positive,Sell,Hold
Boeing_2023-09-06,BA,2023-09-06,positive,Buy,Strong Buy
Boeing_2023-09-07,BA,2023-09-07,positive,Sell,Hold
