content:Recommendation
id,primary_key,symbol,date,sentiment_score,stock_rec,total_rec
1,Apple_2023-09-28,AAPL,2023-09-28,neutral,Sell,Sell
2,Amgen_2023-09-28,AMGN,2023-09-28,positive,Sell,Hold
3,Boeing_2023-09-28,BA,2023-09-28,neutral,Sell,Sell
4,Caterpillar_2023-09-28,CAT,2023-09-28,negative,Buy,Hold
5,Salesforce_2023-09-28,CRM,2023-09-28,positive,Buy,Strong Buy
6,Cisco_2023-09-28,CSCO,2023-09-28,positive,Buy,Strong Buy
7,Chevron_2023-09-28,CVX,2023-09-28,positive,Sell,Hold
8,Disney_2023-09-28,DIS,2023-09-28,positive,Sell,Hold
9,Dow Chemical_2023-09-28,DOW,2023-09-28,positive,Sell,Hold
10,Goldman Sachs_2023-09-28,GS,2023-09-28,positive,Sell,Hold
11,Home Depot_2023-09-28,HD,2023-09-28,positive,Buy,Strong Buy
12,IBM_2023-09-28,IBM,2023-09-28,positive,Buy,Strong Buy
13,Intel_2023-09-28,INTC,2023-09-28,neutral,Buy,Buy
14,Johnson & Johnson_2023-09-28,JNJ,2023-09-28,positive,Sell,Hold
15,JPMorgan Chase_2023-09-28,JPM,2023-09-28,positive,Sell,Hold
16,Coca-Cola_2023-09-28,KO,2023-09-28,positive,Sell,Hold
17,McDonalds_2023-09-28,MCD,2023-09-28,positive,Sell,Hold
18,3M_2023-09-28,MMM,2023-09-28,positive,Buy,Strong Buy
19,Merck_2023-09-28,MRK,2023-09-28,neutral,Sell,Sell
20,Microsoft_2023-09-28,MSFT,2023-09-28,positive,Buy,Strong Buy
21,Nike_2023-09-28,NKE,2023-09-28,positive,Sell,Hold
22,Pfizer_2023-09-28,PFE,2023-09-28,neutral,Sell,Sell
23,Procter & Gamble_2023-09-28,PG,2023-09-28,neutral,Sell,Sell
24,Raytheon_2023-09-28,RTX,2023-09-28,neutral,Sell,Sell
25,Travelers_2023-09-28,TRV,2023-09-28,neutral,Buy,Buy
26,UnitedHealth_2023-09-28,UNH,2023-09-28,positive,Sell,Hold
27,Visa_2023-09-28,V,2023-09-28,positive,Sell,Hold
28,Verizon_2023-09-28,VZ,2023-09-28,positive,Sell,Hold
29,Walgreens_2023-09-28,WBA,2023-09-28,positive,Sell,Hold
30,Exxon Mobil_2023-09-28,XOM,2023-09-28,positive,Sell,Hold
31,Apple_2023-09-29,AAPL,2023-09-29,positive,Sell,Hold
32,Amgen_2023-09-29,AMGN,2023-09-29,positive,Buy,Strong Buy
33,Boeing_2023-09-29,BA,2023-09-29,positive,Sell,Hold
34,Caterpillar_2023-09-29,CAT,2023-09-29,neutral,Sell,Sell
35,Salesforce_2023-09-29,CRM,2023-09-29,neutral,Buy,Buy
36,Cisco_2023-09-29,CSCO,2023-09-29,neutral,Sell,Sell
37,Chevron_2023-09-29,CVX,2023-09-29,positive,Sell,Hold
38,Disney_2023-09-29,DIS,2023-09-29,positive,Buy,Strong Buy
39,Dow Chemical_2023-09-29,DOW,2023-09-29,negative,Buy,Hold
40,Goldman Sachs_2023-09-29,GS,2023-09-29,positive,Sell,Hold
41,Home Depot_2023-09-29,HD,2023-09-29,positive,Sell,Hold
42,IBM_2023-09-29,IBM,2023-09-29,negative,Sell,Strong Sell
43,Intel_2023-09-29,INTC,2023-09-29,positive,Sell,Hold
44,Johnson & Johnson_2023-09-29,JNJ,2023-09-29,positive,Buy,Strong Buy
45,JPMorgan Chase_2023-09-29,JPM,2023-09-29,negative,Sell,Strong Sell
46,Coca-Cola_2023-09-29,KO,2023-09-29,positive,Sell,Hold
47,McDonalds_2023-09-29,MCD,2023-09-29,positive,Sell,Hold
48,3M_2023-09-29,MMM,2023-09-29,neutral,Buy,Buy
49,Merck_2023-09-29,MRK,2023-09-29,positive,Buy,Strong Buy
50,Microsoft_2023-09-29,MSFT,2023-09-29,positive,Buy,Strong Buy
51,Nike_2023-09-29,NKE,2023-09-29,neutral,Buy,Buy
52,Pfizer_2023-09-29,PFE,2023-09-29,negative,Sell,Strong Sell
53,Procter & Gamble_2023-09-29,PG,2023-09-29,positive,Sell,Hold
54,Raytheon_2023-09-29,RTX,2023-09-29,positive,Buy,Strong Buy
55,Travelers_2023-09-29,TRV,2023-09-29,positive,Buy,Strong Buy
56,UnitedHealth_2023-09-29,UNH,2023-09-29,positive,Buy,Strong Buy
57,Visa_2023-09-29,V,2023-09-29,positive,Sell,Hold
58,Verizon_2023-09-29,VZ,2023-09-29,positive,Sell,Hold
59,Walgreens_2023-09-29,WBA,2023-09-29,neutral,Sell,Sell
60,Exxon Mobil_2023-09-29,XOM,2023-09-29,neutral,Sell,Sell
