content:SentimentScore,,,
sentiment_score_company,sentiment_score_date,sentiment_score_score,sentiment_score_recommendation
3M,1/1/2022,-0.049382716,Hold
3M,1/2/2022,0.036585366,Hold
3M,1/3/2022,0.060240964,Buy
3M,1/4/2022,-0.051948052,Sell
3M,1/5/2022,0.213483146,Strong Buy
3M,1/6/2022,0.130434783,Buy
3M,1/7/2022,0.043478261,Hold
3M,1/8/2022,0.010638298,Hold
3M,1/9/2022,-0.064102564,Sell
3M,1/10/2022,0.064220183,Buy
3M,1/11/2022,0.010526316,Hold
3M,1/12/2022,0.025,Hold
3M,1/13/2022,0.047619048,Hold
3M,1/14/2022,-0.129411765,Sell
3M,1/15/2022,0,Hold
3M,1/16/2022,0.011235955,Hold
3M,1/17/2022,0.059405941,Buy
3M,1/18/2022,-0.114583333,Sell
3M,1/19/2022,-0.082191781,Sell
3M,1/20/2022,0.10989011,Buy
3M,1/21/2022,-0.065934066,Sell
3M,1/22/2022,-0.090909091,Sell
3M,1/23/2022,-0.019607843,Hold
3M,1/24/2022,0.217391304,Strong Buy
3M,1/25/2022,0.04494382,Hold
3M,1/26/2022,-0.025974026,Hold
3M,1/27/2022,0.098039216,Buy
3M,1/28/2022,-0.1375,Sell
3M,1/29/2022,-0.065789474,Sell
3M,1/30/2022,-0.038961039,Hold
3M,1/31/2022,0.130434783,Buy
3M,2/1/2022,0.02173913,Hold
3M,2/2/2022,-0.067961165,Sell
3M,2/3/2022,0.087912088,Buy
3M,2/4/2022,-0.169014085,Strong Sell
3M,2/5/2022,0,Hold
3M,2/6/2022,-0.131313131,Sell
3M,2/7/2022,0.010989011,Hold
3M,2/8/2022,-0.010638298,Hold
3M,2/9/2022,0.108433735,Buy
3M,2/10/2022,0.03,Hold
3M,2/11/2022,-0.044444444,Hold
3M,2/12/2022,0.078651685,Buy
3M,2/13/2022,-0.021505376,Hold
3M,2/14/2022,0.031578947,Hold
3M,2/15/2022,0.085106383,Buy
3M,2/16/2022,-0.076190476,Sell
3M,2/17/2022,0.011764706,Hold
3M,2/18/2022,0.084337349,Buy
3M,2/19/2022,-0.063829787,Sell
3M,2/20/2022,-0.060240964,Sell
3M,2/21/2022,-0.011363636,Hold
3M,2/22/2022,0.119047619,Buy
3M,2/23/2022,-0.085365854,Sell
3M,2/24/2022,0.02970297,Hold
3M,2/25/2022,0.103896104,Buy
3M,2/26/2022,-0.040540541,Hold
3M,2/27/2022,-0.086956522,Sell
3M,2/28/2022,0.021978022,Hold
3M,3/1/2022,0.172413793,Strong Buy
3M,3/2/2022,-0.117647059,Sell
3M,3/3/2022,0.034090909,Hold
3M,3/4/2022,0.129032258,Buy
3M,3/5/2022,0.056074766,Buy
3M,3/6/2022,-0.1375,Sell
3M,3/7/2022,0.060240964,Buy
3M,3/8/2022,0.1125,Buy
3M,3/9/2022,0.119565217,Buy
3M,3/10/2022,-0.024390244,Hold
3M,3/11/2022,-0.014705882,Hold
3M,3/12/2022,0.029411765,Hold
3M,3/13/2022,0.043010753,Hold
3M,3/14/2022,0.094117647,Buy
3M,3/15/2022,-0.04494382,Hold
3M,3/16/2022,0.060240964,Buy
3M,3/17/2022,0.12987013,Buy
3M,3/18/2022,0.056179775,Buy
3M,3/19/2022,0.023255814,Hold
3M,3/20/2022,-0.14953271,Sell
3M,3/21/2022,-0.032258065,Hold
3M,3/22/2022,-0.00990099,Hold
3M,3/23/2022,-0.021978022,Hold
3M,3/24/2022,-0.068627451,Sell
3M,3/25/2022,0.033333333,Hold
3M,3/26/2022,-0.04950495,Hold
3M,3/27/2022,0.023255814,Hold
3M,3/28/2022,0.025641026,Hold
3M,3/29/2022,-0.103092784,Sell
3M,3/30/2022,-0.045454545,Hold
3M,3/31/2022,-0.011363636,Hold
3M,4/1/2022,0.103092784,Buy
3M,4/2/2022,0.14,Buy
3M,4/3/2022,0.032967033,Hold
3M,4/4/2022,-0.047058824,Hold
3M,4/5/2022,-0.021276596,Hold
3M,4/6/2022,0.043010753,Hold
3M,4/7/2022,0.158536585,Strong Buy
3M,4/8/2022,-0.028037383,Hold
3M,4/9/2022,0.04494382,Hold
3M,4/10/2022,-0.008849558,Hold
3M,4/11/2022,0.011111111,Hold
3M,4/12/2022,-0.012048193,Hold
3M,4/13/2022,0.045977011,Hold
3M,4/14/2022,0,Hold
3M,4/15/2022,0.101123596,Buy
3M,4/16/2022,0.103092784,Buy
3M,4/17/2022,0.042553191,Hold
3M,4/18/2022,0.060240964,Buy
3M,4/19/2022,0.14893617,Buy
3M,4/20/2022,-0.134020619,Sell
3M,4/21/2022,0.04950495,Hold
3M,4/22/2022,0.010416667,Hold
3M,4/23/2022,0.129310345,Buy
3M,4/24/2022,-0.098039216,Sell
3M,4/25/2022,-0.03125,Hold
3M,4/26/2022,0.010526316,Hold
3M,4/27/2022,0.038834951,Hold
3M,4/28/2022,-0.026666667,Hold
3M,4/29/2022,-0.211111111,Strong Sell
3M,4/30/2022,0.02,Hold
3M,5/1/2022,-0.188118812,Strong Sell
3M,5/2/2022,0.126213592,Buy
3M,5/3/2022,0.009708738,Hold
3M,5/4/2022,0.010752688,Hold
3M,5/5/2022,-0.214953271,Strong Sell
3M,5/6/2022,-0.01,Hold
3M,5/7/2022,-0.02173913,Hold
3M,5/8/2022,-0.032608696,Hold
3M,5/9/2022,-0.012658228,Hold
3M,5/10/2022,0.035294118,Hold
3M,5/11/2022,-0.1,Sell
3M,5/12/2022,0,Hold
3M,5/13/2022,-0.009708738,Hold
3M,5/14/2022,0.033333333,Hold
3M,5/15/2022,-0.123595506,Sell
3M,5/16/2022,0.066666667,Buy
3M,5/17/2022,-0.00952381,Hold
3M,5/18/2022,0.148514851,Buy
3M,5/19/2022,0.010204082,Hold
3M,5/20/2022,0.111111111,Buy
3M,5/21/2022,-0.025,Hold
3M,5/22/2022,-0.080808081,Sell
3M,5/23/2022,-0.011904762,Hold
3M,5/24/2022,-0.144736842,Sell
3M,5/25/2022,-0.010989011,Hold
3M,5/26/2022,-0.072164948,Sell
3M,5/27/2022,-0.032967033,Hold
3M,5/28/2022,-0.173913043,Strong Sell
3M,5/29/2022,-0.066666667,Sell
3M,5/30/2022,-0.038834951,Hold
3M,5/31/2022,-0.144444444,Sell
3M,6/1/2022,-0.009433962,Hold
3M,6/2/2022,-0.08988764,Sell
3M,6/3/2022,0.010526316,Hold
3M,6/4/2022,-0.034482759,Hold
3M,6/5/2022,-0.156626506,Strong Sell
3M,6/6/2022,-0.087378641,Sell
3M,6/7/2022,-0.055045872,Sell
3M,6/8/2022,0.056074766,Buy
3M,6/9/2022,0,Hold
3M,6/10/2022,0.11627907,Buy
3M,6/11/2022,0.078651685,Buy
